TEXT;Age group;Gender;TOPICS
Large store, a large selection of goods and no queues;< 30;Female;Queues | Space | Range of goods
I've got it far enough but it's good;< 30;Female;Other
I do not like the arrangement of newspapers.;60+;Female;Clarity
It's small and full of stuff.;< 30;Male;Space | Range of goods
Always everything satisfied great offer;30 - 60;Female;Look and feel | Range of goods
There are long queues at the checkout.;< 30;Male;Queues
I like soft blankets here, I have a lot of them and very often I buy more, there are still new designs.;< 30;Male;Range of goods
Not waiting at the cash register;< 30;Female;Queues
There is a large parking lot and I can also refuel.;30 - 60;Male;Parking
Expensive;30 - 60;Female;Pricing
Flood, reorder current goods.;< 30;Female;Availability of goods | Availability of promo goods
Few people, convenient shopping, large carts, wide streets, self-service checkouts;60+;Male;Self-checkout
There could be a self-service checkout;60+;Female;Self-checkout
There's everything, a nice selection of everything;30 - 60;Male;Range of goods
Sufficient supply, quality food;60+;Female;Availability of goods | Range of goods | Quality of goods
Well renovated shop;60+;Male;Look and feel
There are queues at the ticket offices.;< 30;Female;Queues
Good fresh and good food,;30 - 60;Female;Availability of goods | Quality of goods
Sometimes there's a little mess;30 - 60;Male;Cleanliness
Self checkout and cleanliness.;60+;Male;Self-checkout | Cleanliness
Have a good action in the leaflet.;< 30;Female;Promotions | Leaflets
for my little Today's purchase is very enough;< 30;Male;Look and feel
I come here when I go around work;< 30;Male;Other
Sometimes I choose clothes here.;< 30;Male;Range of goods
It's neat and clear here;30 - 60;Male;Arrangement of the store | Look and feel | Clarity
Fresh meat, good prices, promotions;< 30;Male;Quality of meat | Pricing | Promotions | Quality of goods
Well-arranged, settled, pleasant saleswoman when I ask;< 30;Female;Clarity | Staff
Now it's a lot changed here, I have to get used to the new arrangement, still looking for goods.;60+;Male;Arrangement of the store | Clarity
We like to pay pretty vegetables at the cash register;< 30;Male;Quality of FV | Self-checkout | Quality of goods
I like this store and I like my staff and are willing and willing;< 30;Male;Look and feel | Staff
After moving the set I do not know;60+;Female;Arrangement of the store
Pretty cool just occasionally potatoes are not quite fresh or at least do not look like;60+;Female;Quality of FV | Quality of goods
Satisfied, large selection, spacious shop, clear.;< 30;Male;Clarity | Space | Range of goods
Quite well the action and such the extra-yellow stickers with action.;< 30;Female;Availability of goods | Promotions | Availability of promo goods
Normal business, I don't like the big business, but you can't avoid it;60+;Male;Other
Good and good food;30 - 60;Male;Quality of goods
Too small with a pram is badly bought;60+;Female;Space
They've reconstructed it and there's no people here. It suits me;< 30;Female;Look and feel | Queues
Organized. Matching, matching range;< 30;Female;Arrangement of the store | Clarity | Range of goods
I have it closest here and often have good discounts.;60+;Male;Promotions | Proximity
They have fresh vegetables and fruit;< 30;Female;Quality of FV | Quality of goods
Everything is nice, staff and goods;60+;Female;Staff | Quality of goods
Large, clean, spacious and plenty of goods.;60+;Male;Space | Range of goods | Cleanliness
Long queue of little cash registers open;30 - 60;Female;Queues
Supply is not good, price tags do not match the action leaflet;30 - 60;Female;Availability of goods | Price Tags | Availability of promo goods
It's a nice and quiet environment I have no comments;30 - 60;Male;Look and feel
He doesn't like long queues at the box office;60+;Male;Queues
You can park here well and you can use the restaurant;60+;Male;Parking
Add goods and price tags, queues;< 30;Male;Availability of goods | Queues | Price Tags
There is little space and I lack shopping carts;30 - 60;Male;Space
Totally weird business. Product quality not much.;30 - 60;Male;Look and feel | Quality of goods
There is little space at the cash registers otherwise it's so average;60+;Female;Space
There is a large parking lot, shop spacious, nice staff.;< 30;Male;Parking | Space | Staff
Wide selection of goods, prices;30 - 60;Male;Pricing | Range of goods
He would need to enlarge, it would certainly pay off here.;60+;Female;Space
Totally satisfied suits me this shop;30 - 60;Female;Look and feel
I am satisfied here and evaluate the friendly staff.;60+;Male;Look and feel | Staff
The store suits me in all directions;60+;Female;Look and feel
Friendly, nice and helpful staff;30 - 60;Male;Staff
It's a nice deal. I like it here;< 30;Female;Look and feel
I got it right here and buy everything I need here;60+;Male;Availability of goods | Range of goods | Proximity
The store is still improving in services;60+;Male;Look and feel
Clean shop, nice team, helpful;< 30;Male;Staff | Cleanliness
Total good store quality food;< 30;Female;Look and feel | Quality of goods
Small shop and worse orientation to stores;30 - 60;Female;Arrangement of the store | Space
Pastry bugs and self service could also be made for cash;30 - 60;Male;Availability of goods | Availability of bakery | Self-checkout
Good action offer and a large selection;60+;Male;Promotions | Range of goods
Great choice, large parking;< 30;Female;Parking | Range of goods
I like it here is everything here;60+;Male;Arrangement of the store | Look and feel | Range of goods
Sometimes there are queues;60+;Male;Queues
Satisfaction with both the food and the purity of the shop.;30 - 60;Female;Availability of goods | Range of goods | Cleanliness | Quality of goods
Sometimes the quality is not what it should be;< 30;Male;Quality of goods
Good shopping here, new and nice spacious.;60+;Female;Space
Sometimes strangers rush in here and hang around here.;60+;Male;Other
Large assortment of goods. quality;60+;Male;Range of goods | Quality of goods
Clean and nice shop well groceries fresh pastries.;60+;Female;Quality of bakery | Cleanliness | Quality of goods
What I want, I buy here;30 - 60;Male;Range of goods
The biggest offer from every assortment, drugstore, stationery, all in one place;60+;Male;Availability of goods | Range of goods
There aren't many people here, choosing quite good;< 30;Female;Queues | Range of goods
Queues at checkout. Small space;< 30;Female;Queues | Space
Spacious large shop, good offer good prices;< 30;Female;Pricing | Space | Range of goods
The offer of goods is very interesting.;< 30;Female;Availability of goods | Range of goods
Spacious, wide assortment;30 - 60;Male;Space | Range of goods
Satisfaction, however, bothers me the action on Thursday and attracted people;60+;Female;Queues | Promotions
Good availability of nice goods;60+;Male;Range of goods | Proximity
I'm satisfied.;60+;Female;Other
Probably more kind of goods such as herbs are not;< 30;Female;Range of goods
Narrow streets and extra large trucks;60+;Male;Space
Because there's less choice than elsewhere;30 - 60;Male;Range of goods
Affordable food;60+;Female;Pricing
Increase the selection of goods, especially fruit;30 - 60;Female;Range of FV | Range of goods
Large well-arranged shop, willing staff;< 30;Male;Clarity | Space | Staff
Add self checkout;30 - 60;Male;Self-checkout
Fresh food, fresher shop, more spacious, bigger.;< 30;Female;Space | Quality of goods
Takes meal vouchers, has a large parking lot, I like the surrounding shops;60+;Male;Parking | Vouchers, loyalty
Few discounted goods, unfinished.;< 30;Male;Availability of goods | Availability of promo goods
There is even a good selection of goods;< 30;Female;Availability of goods | Parking | Range of goods
It is a spacious, wide range of goods;60+;Female;Space | Range of goods
Well accessible shop with a large parking lot;< 30;Male;Parking | Proximity
Goods are not correctly priced;30 - 60;Female;Price Tags
Willingness of sellers, overview, cleanliness, nice shop.;60+;Male;Look and feel | Clarity | Staff | Cleanliness
Beware of prices, fresher delicacies;60+;Female;Price Tags | Quality of goods
Nice adequately stocked shop;< 30;Female;Availability of goods
Fits assortment of fruits and vegetables, pastries;30 - 60;Male;Range of FV | Quality of FV | Quality of bakery | Range of goods | Quality of goods
I do not know I'm satisfied with good shopping here.;30 - 60;Male;Range of goods
Good pastry, but it is low and sometimes not at all;< 30;Female;Availability of goods | Availability of bakery | Range of bakery | Range of goods
I buy quickly, there are no queues at the checkout, it's close;60+;Male;Queues | Proximity
Pleasant cashier;< 30;Female;Staff
They had a small selection of assortment;< 30;Female;Range of goods
Business is too small, business expansion.;30 - 60;Male;Space | Range of goods
There is no pastry in the evening;< 30;Male;Availability of goods | Availability of bakery
Large, spacious shop, I buy everything I need;30 - 60;Male;Space | Range of goods
It's an average store and I live right next door;< 30;Male;Proximity
Helpful staff, sometimes she's over here;< 30;Female;Staff
Keep the neighborhood around the store and expel the homeless;< 30;Male;Security | Cleanliness
Few pastries and sweets to eat;30 - 60;Male;Availability of goods | Availability of bakery
Small selection, hard bread, rotten vegetables and fruits.;< 30;Male;Quality of FV | Quality of bakery | Range of goods | Quality of goods
The staff is helpful, everything was OK;< 30;Male;Staff
I like to come here well for action and price as well;30 - 60;Female;Pricing | Promotions
After rebuilding clear and clean shop.;30 - 60;Male;Arrangement of the store | Clarity | Cleanliness
They advise me, it's fast here, helpful staff;30 - 60;Female;Queues | Staff
It's big enough here, I prefer smaller stores;60+;Male;Arrangement of the store
Very expensive some foods;30 - 60;Female;Pricing
I don't like the brands he sells;60+;Male;Range of goods
Because they are small and they stand there as individuals.;< 30;Female;Security | Space
Good selection of beers, quality meat;30 - 60;Female;Quality of meat | Range of goods | Quality of goods
Because sometimes they have something I don't like. E.g. it's expensive, so I don't take it;< 30;Male;Pricing
Between the shelves little space;60+;Female;Space
I would imagine the store so that it was fun for me to shop here and not poison;< 30;Female;Look and feel
There is a pleasant environment and a shop assistant;< 30;Male;Look and feel | Staff
It's near, fresh food.;60+;Female;Quality of goods
I've always been here, it's a clear store.;< 30;Female;Clarity
More vegetables;< 30;Female;Range of FV | Range of goods
Large premises, purchase without queues;60+;Female;Queues | Space
All quality and cheap;60+;Female;Pricing | Quality of goods
They have delicious bread, sparkling sliced packaged, you can't be sure halves of the whole bread that is carried and not packed and sliced;< 30;Female;Quality of bakery | Quality of goods
They don't have everything we need;60+;Female;Range of goods
She recommended, I have it near your home, I buy fresh bread.;< 30;Female;Availability of goods | Look and feel | Quality of bakery | Proximity | Quality of goods
Occasionally May sold out goods;< 30;Male;Availability of goods | Range of goods
Cheap prices and there is room to buy well with a stroller between the shelves;< 30;Male;Pricing | Space
I'll buy what I need;60+;Male;Availability of goods
Good store location easy to access;30 - 60;Female;Other
Rebuilt. Very nice .. nice shopping.;< 30;Female;Look and feel
Transparent aisles of goods I find easily;< 30;Female;Arrangement of the store | Clarity
Transparency, arrangement, assortment;< 30;Male;Arrangement of the store | Clarity | Range of goods
Great choice and low prices;60+;Female;Pricing | Range of goods
Fresh vegetables;< 30;Male;Quality of FV | Quality of goods
Satisfied very, everything is really fresh here.;60+;Female;Look and feel | Quality of goods
Everything in one place, great drugstore;30 - 60;Female;Availability of goods | Look and feel | Range of goods
Narrow street poor movement with pram;60+;Male;Other
Well done, prizes, queues at the box office;< 30;Male;Pricing | Promotions
Nice service, unfinished goods.;30 - 60;Male;Availability of goods
I shop here often, it's small, clear, there's everything.;60+;Male;Clarity | Space | Range of goods
It is easily accessible, has many special offers, is close.;30 - 60;Female;Promotions | Proximity
Because no pastry is available in the evening;30 - 60;Female;Availability of goods | Availability of bakery
Disgust, dirt, does not fit prices.;30 - 60;Male;Price Tags | Cleanliness
To be bigger carts and better exit from the shop, it is too downhill.;< 30;Male;Arrangement of the store
Large selection of fresh fruits and vegetables;< 30;Male;Range of FV | Quality of FV | Range of goods | Quality of goods
They have everything in Kaufland, and it's close to the barrack;60+;Male;Other
Clean and well-arranged shop, staff.;< 30;Female;Clarity | Staff | Cleanliness
I buy here well, they have affordable goods here.;< 30;Male;Availability of goods | Pricing | Range of goods
I like how remodeled it looks more modern overall;60+;Male;Look and feel
I will always find and quickly what I need, because of discounts, a large selection, a larger selection of action goods could be;60+;Female;Availability of goods | Range of goods
Not too much space between the shelves makes it cramped;< 30;Male;Space
Rotten vegetables;30 - 60;Female;Quality of FV | Quality of goods
It is easily accessible, it suits me and has a wide offer.;30 - 60;Male;Range of goods
Rich selection of all goods.;< 30;Female;Range of goods
Everything OK, satisfied.;60+;Male;Other
To complete the self-service checkout;< 30;Male;Self-checkout
So it got worse in the shop;30 - 60;Female;Staff
Arrangement;30 - 60;Female;Arrangement of the store
Friendly staff, I don't go anywhere;30 - 60;Female;Staff
I have it close and it is easy to shop here;30 - 60;Male;Look and feel | Proximity
I go to the market so I only take the pastry it is good;30 - 60;Female;Quality of bakery | Quality of goods
Great choice, clear, nice.;30 - 60;Male;Look and feel | Range of goods
What I need to buy here I always buy;< 30;Male;Availability of goods | Range of goods
The store is spacious and clean.;60+;Male;Space | Cleanliness
Good availability, action goods, have everything I need;< 30;Female;Availability of goods | Promotions | Range of goods | Availability of promo goods
In my opinion, it is a fair evaluation and I am satisfied here;< 30;Female;Look and feel
Sometimes it bothers me at the cash registers, otherwise nothing.;60+;Female;Queues
They have gone through things;60+;Female;Quality of goods
Suits the proximity of the store, bothers limited range;< 30;Female;Proximity
I don't like the shelves shifting;< 30;Male;Arrangement of the store
The locality suits me;60+;Male;Proximity
There's often weird flesh, like it's gone.;30 - 60;Female;Quality of meat | Quality of goods
Good business layout.;60+;Male;Arrangement of the store | Clarity
Cleanly, well arranged, selection, vegetables;60+;Male;Range of FV | Clarity | Range of goods | Cleanliness
Along the way, I'm surprised, clear.;60+;Female;Clarity | Proximity
Nice shopgirls and good sausages;< 30;Female;Staff | Quality of goods
Improve prices;60+;Female;Pricing
A few good things to do but don't have them.;30 - 60;Male;Availability of goods | Availability of promo goods
Checkout for quick purchases when there are a few items.;< 30;Female;Other
Because not always everything is ideal;30 - 60;Male;Other
Rotten vegetables, pastry strewn and mixed;< 30;Female;Quality of FV | Quality of goods
Be bigger. Small shop. Otherwise well.;60+;Female;Space
Sometimes prices don't fit;30 - 60;Male;Price Tags
Pleasant shopping environment, quality pastries, friendly staff;60+;Female;Look and feel | Quality of bakery | Staff | Quality of goods
Secure goods for points earned;< 30;Male;Other
Sometimes they have a good offer;60+;Male;Promotions
I like it open until ten;< 30;Female;Opening hours
It's good to shop here and now it's very nice;60+;Female;Look and feel
Queue the dirt mouse as much as you want;30 - 60;Female;Queues | Cleanliness
Some foods are missing, to enlarge a larger assortment.;30 - 60;Male;Range of goods
They don't have very good quality vegetables, it's a very cramped shop;< 30;Female;Quality of FV | Space | Quality of goods
It's cool, but there's always room for improvement;30 - 60;Female;Look and feel
Now the streets are wide enough;60+;Male;Space
Sometimes strangers rush in here and hang around here.;30 - 60;Female;Other
It's a nicely assembled and good choice here.;30 - 60;Male;Clarity | Range of goods
Streets in Tesco meetings are changing in terms of ordering, it bothers me.;30 - 60;Female;Arrangement of the store
Prices of goods since last event;60+;Male;Price Tags
Make self-service checkouts.;30 - 60;Male;Self-checkout
They did it, pretty redesigned;30 - 60;Female;Look and feel
Queues cash register frequent, especially in the afternoon;30 - 60;Male;Queues
Few dairy products;30 - 60;Female;Range of goods
Everybody finds his favorite shop, mine is this one;30 - 60;Male;Look and feel
Accessible by public transport, elevator.;< 30;Female;Other
Larger shop space, better rack layout, more spacious;30 - 60;Male;Arrangement of the store | Space
Goods enough;30 - 60;Female;Range of goods
It's close here, nice shop assistant.;< 30;Male;Proximity | Staff
I am satisfied with the product range;< 30;Male;Range of goods
I'm close, and there's no stairs;< 30;Male;Proximity
I go shopping Globus;< 30;Male;Range of goods
More busy cash registers In peak hours;30 - 60;Female;Queues
Self-service checkouts are only on card, I cannot redeem cash or meal vouchers;30 - 60;Male;Vouchers, loyalty | Self-checkout
Put a self-service checkout here;60+;Female;Self-checkout
I do not know, maybe in the lidl have a more diverse range;30 - 60;Female;Range of goods
Queue at the box office, in peak hours it is even ten minutes;60+;Female;Queues
Remodel space, more choice;30 - 60;Male;Space | Range of goods
Large spacious shop with willing saleswomen.;60+;Female;Space | Staff
Satisfied, I am near the house;< 30;Female;Proximity
Satisfaction, big waiting at the checkout at times, lack of staff, less fresh bread.;30 - 60;Female;Queues | Quality of bakery | Staff | Quality of goods
I don't like the new store layout.;60+;Male;Arrangement of the store | Clarity
I only come here if they have something good in action otherwise;< 30;Male;Promotions
Sometimes there are queues;60+;Male;Queues
There would have to be a shop bigger to get here with the carriage;< 30;Female;Space
So I am satisfied here and it is affordable. But there are queues at the ticket offices;< 30;Female;Pricing
It's too big here, but it's pretty good;60+;Male;Arrangement of the store | Space
Poor quality foods give the same food;30 - 60;Female;Quality of goods
I am satisfied with the whole business;< 30;Male;Arrangement of the store | Range of goods
Buy everything, fresh, selection, space;< 30;Male;Availability of goods | Clarity | Range of goods | Quality of goods
I park well here and it is a smaller shop so it is quickly bought;30 - 60;Female;Parking | Space
They have good bread and bread;< 30;Male;Availability of goods | Availability of bakery | Quality of bakery | Range of bakery | Range of goods | Quality of goods
A lot of space between shelves is well bought with a pram;60+;Female;Arrangement of the store | Space
Quite clear, we know food, sweet pastries delicious;60+;Female;Arrangement of the store | Quality of bakery | Clarity | Quality of goods
Satisfied, the goods clear ..;< 30;Female;Look and feel | Clarity
Range of products and good prices for good quality.;< 30;Male;Pricing | Range of goods | Quality of goods
It's my favorite store it's better than Tesco;30 - 60;Female;Look and feel
Add cash payment at self checkout.;30 - 60;Female;Self-checkout
After the renovation and layout of the store total satisfaction. It looks very good and it is very good to shop here ..;60+;Female;Look and feel | Clarity
We come here So we go to church every Sunday;60+;Male;Proximity
Withered fruits and vegetables;30 - 60;Male;Quality of FV | Quality of goods
Satisfaction with meat quality;30 - 60;Male;Quality of meat | Quality of goods
Meat and sausages are delicious;30 - 60;Female;Quality of meat | Quality of goods
Occasionally queues at the cash registers to avoid that much.;30 - 60;Female;Queues
Sometimes queues at the cash registers;< 30;Male;Queues
Here are the shop assistants willingly. goods suits me;< 30;Female;Range of goods | Staff
Monthly events, great food;60+;Male;Staff | Quality of goods
It parks well here and it is a small shop so fast to buy;60+;Male;Arrangement of the store | Parking
Self-service checkouts are slow.;30 - 60;Male;Self-checkout
For our students satisfaction, we have it at the dorm and buy what is needed;30 - 60;Female;Availability of goods | Range of goods | Proximity
Good pastry quality vegetables;30 - 60;Male;Quality of FV | Quality of bakery | Quality of goods
I like, good prices.;30 - 60;Male;Pricing
Make self-checkout in the store;30 - 60;Male;Self-checkout
Self-service cashes instead of speeding up buying slows down;30 - 60;Male;Self-checkout
Frequent queue cash and unwilling staff;60+;Female;Queues | Staff
There are few sellers. It's time to find someone;< 30;Female;Other
Few cashiers and smaller selection of goods;60+;Female;Range of goods | Staff
Spacious big shop, good offer;60+;Male;Space | Range of goods
Previous shop modification was clearer;< 30;Female;Clarity
I always buy what I need;30 - 60;Female;Availability of goods | Range of goods
Pleasant well-arranged shop;60+;Female;Arrangement of the store | Look and feel | Clarity
Uncomfortable cashier service, good fruit;< 30;Female;Staff
Have more open cash registers;30 - 60;Male;Queues
Good action, we are used to here;30 - 60;Female;Promotions
It's quiet and parked well, but the mess.;< 30;Male;Cleanliness
I come here almost daily, the shop suits me in every way.;30 - 60;Female;Look and feel | Range of goods
I'll buy what I need here. Sicks girls at the box office;60+;Female;Range of goods | Staff
They have good prices here, they buy well;< 30;Female;Look and feel | Pricing
For great shopping super shop;30 - 60;Male;Availability of goods | Range of goods
Cheapest prices;60+;Male;Pricing
Cleanly, distance, vegetables;30 - 60;Female;Quality of FV | Proximity | Cleanliness | Quality of goods
Well because it's so clear and clean and the goods look fresh.;30 - 60;Male;Clarity | Cleanliness | Quality of goods
Satisfied, there is everything, a good choice.;60+;Female;Availability of goods | Look and feel | Range of goods
I like to shop here is quiet and large space;60+;Male;Look and feel | Space
Reconstruction, newer version of the shop.;60+;Female;Other
Bad price tags;60+;Female;Price Tags
Assortment, self-service checkout;30 - 60;Female;Self-checkout | Range of goods
It's not quite wrong here, but they could improve;30 - 60;Female;Other
More open cash registers.;< 30;Female;Queues
It's a business like any other;60+;Female;Other
More open cash registers, otherwise nothing;60+;Male;Queues
As far as I'm going for big shopping;< 30;Male;Other
There are terribly small streets.;30 - 60;Male;Space
Unpleasant staff and dirty trucks;60+;Female;Staff | Cleanliness
More flyer to the neighborhoods;60+;Female;Leaflets
I buy what I need, I'm satisfied;< 30;Female;Availability of goods | Range of goods
I have nothing against the trade, but I do not come here so often because of the reconstruction of the building, there is no place to park;< 30;Female;Parking
More dairy products, otherwise it's good;< 30;Male;Range of goods
Poor pricing.;< 30;Female;Price Tags
Buy everything, clarity, staff;60+;Female;Arrangement of the store | Clarity | Range of goods | Staff
Clean nice shop. Not to rotate staff. Increase staff salary.;< 30;Female;Staff | Cleanliness
Cheap, good quality and close;< 30;Female;Pricing | Proximity | Quality of goods
There is little space and I lack shopping carts;30 - 60;Male;Space
I have been getting used to Strasn for a long time, as they did it here;< 30;Male;Clarity
There are long queues at the ticket offices.;30 - 60;Male;Queues
I come here at least I can't judge;60+;Female;Other
Open more cash registers when needed;60+;Female;Queues
Well, man, I got what I wanted, helpful staff.;30 - 60;Female;Availability of goods | Clarity | Space | Staff
Great shop, well arranged.;60+;Female;Clarity | Space
It suits me here, fresh meat, sausages, sufficient choice of bread, spacious shop;30 - 60;Male;Quality of meat | Look and feel | Range of bakery | Space | Range of goods | Quality of goods
Little meat;60+;Female;Range of meat | Range of goods
Big queues, too big business impersonal;30 - 60;Male;Look and feel | Queues
Few meats in action;30 - 60;Female;Range of meat | Range of goods
It is far from home, poor accessibility.;30 - 60;Male;Proximity
There's no choice. Lidl is better;60+;Male;Range of goods
Smaller selection, quality;60+;Female;Range of goods | Quality of goods
Good food, I don't wait at checkout;30 - 60;Female;Queues | Quality of goods
It is very expensive to trade high prices;60+;Female;Pricing
Old fruit.;60+;Female;Quality of FV | Quality of goods
In this shop sometimes buy queues at the cash desk;< 30;Female;Availability of goods | Look and feel
Satisfied with all, well, fresh, sometimes had action.;30 - 60;Male;Look and feel | Quality of goods
I had a hard time getting used to the new arrangement, now I'm happy. I have to admit that the store is well stacked;60+;Female;Arrangement of the store | Clarity
Large queues, poor vegetables, little choice.;< 30;Female;Quality of FV | Queues | Range of goods | Quality of goods
Except for the cash registers, it is quite possible here and I buy the necessary goods.;60+;Male;Range of goods
Queues at cash registers neutral environment;< 30;Female;Look and feel | Queues
I'm quite satisfied here. It's clear here. I will buy here;30 - 60;Female;Look and feel | Clarity
Clean, tidy and shelves arranged;30 - 60;Female;Arrangement of the store | Cleanliness
New beauty shop, clean.;30 - 60;Female;Look and feel | Cleanliness
I don't know just that;< 30;Male;Other
I like it here;60+;Male;Look and feel
Good selection of beers, quality meat;< 30;Female;Quality of meat | Range of goods | Quality of goods
I bought discounted meat and sold it for the full price.;60+;Female;Price Tags
How ever sometimes it's good sometimes not;30 - 60;Male;Other
Poor quality of sausages;30 - 60;Female;Availability of goods | Availability of meat | Quality of goods
There's a drugstore, toys, all together.;60+;Female;Range of goods
Only around, nicely redesigned shop;30 - 60;Female;Look and feel | Range of goods | Proximity
I like it isn't a big deal I know where it is;30 - 60;Male;Arrangement of the store | Space
Availability, a large assortment of goods is cheaper here;30 - 60;Female;Availability of goods | Pricing | Range of goods | Proximity
Staff, arrangement;30 - 60;Male;Arrangement of the store | Staff
I just need it as it is now;< 30;Male;Other
I will orient myself here, it is strangely scattered here.;60+;Female;Arrangement of the store | Clarity
Fresh bakery;30 - 60;Male;Quality of bakery | Quality of goods
There are big queues at the checkout;< 30;Male;Queues
Poor quality fruit;60+;Male;Quality of FV | Quality of goods
They do everything to make the customers happy;30 - 60;Female;Staff
I'll find everything.;60+;Male;Range of goods
I have it close, there is a sufficient selection of everything.;< 30;Female;Range of goods | Proximity
The staff are reluctant to some, otherwise everything ok;60+;Female;Staff
It's a remake here I don't know about it;30 - 60;Male;Arrangement of the store | Clarity
I like it here, I like it here;30 - 60;Female;Look and feel
I haven't had to stand the long queue at the cash registers yet;30 - 60;Female;Queues
Missing eggplant;30 - 60;Female;Range of FV | Range of goods
Mainly thanks to friendly staff;60+;Female;Staff
Remodel the whole store, newer shelves.;60+;Male;Look and feel
Small selection of cheeses, soft lubricating cheeses, processed cheeses;30 - 60;Female;Range of goods
There was no freezer and premium fish thawed. Freeze them again, at least give a warning or a discount.;60+;Female;Promotions | Price Tags
There is a small parking lot at the shop.;60+;Female;Parking
The path is vegetables and fruits;30 - 60;Female;Pricing
Location, although sometimes you can not park here, fresh goods, you can choose here;30 - 60;Male;Availability of goods | Quality of goods
There was a cruel slice in the leaflet and there is no shop, he didn't come at all;30 - 60;Female;Availability of goods | Availability of promo goods
I live close, I have good shopping here.;< 30;Female;Proximity
Affordable store, I buy a large purchase.;60+;Female;Availability of goods | Pricing
What are self-service checkouts is better here;60+;Female;Self-checkout
Good fresh fresh shop;< 30;Male;Look and feel | Quality of goods
I am always satisfied, lots and action, well arranged goods.;60+;Female;Look and feel | Clarity | Promotions | Range of goods
Nice environment, quality meat,;< 30;Female;Quality of meat | Look and feel | Quality of goods
Staff, vegetables, after reconstruction everything ok;< 30;Male;Quality of FV | Look and feel | Staff | Quality of goods
Helpful staff helpfulness;< 30;Female;Staff
All ok, choice;< 30;Female;Range of goods
Add self checkout;60+;Male;Self-checkout
Quality of vegetables and fruits.;< 30;Male;Range of FV | Quality of FV | Range of goods | Quality of goods
Large selection of fresh fruits and vegetables;60+;Male;Range of FV | Quality of FV | Range of goods | Quality of goods
Few baked evenings and expired action items, rotten vegetables in action;60+;Female;Availability of goods | Quality of FV | Availability of bakery | Range of bakery | Range of goods | Availability of promo goods | Quality of goods
People come here and I admire how to manage it here;< 30;Male;Queues
Fix the confusion in price tags;30 - 60;Female;Price Tags
I come here because there are few people and it is quiet for shopping.;30 - 60;Male;Queues
As they remade it, it's a fresh, more space between shelves.;60+;Male;Arrangement of the store | Space
Pleasant service;30 - 60;Male;Staff
Everything's fine here, I like it here;60+;Male;Look and feel
Small selection of goods;60+;Female;Range of goods
I like it here, great choice, cleanly, freshly.;< 30;Female;Range of goods | Cleanliness | Quality of goods
Evening no people, long opening hours, it's clear and clean here.;30 - 60;Male;Opening hours | Clarity | Cleanliness
Expensive;60+;Male;Pricing
Good pastry, long wait;< 30;Male;Queues | Quality of bakery | Quality of goods
There's peace of mind here is enough goods I just don't like those prices just should be discounted;30 - 60;Male;Pricing
Beautiful delicacies and sausages, never waiting for the staff;< 30;Male;Queues | Quality of goods
Queues at the box office, all box offices open;< 30;Female;Queues
Large selection of fruit vegetables, quality dairy products, pastries, delicatessen ..;30 - 60;Female;Range of FV | Quality of bakery | Range of goods | Quality of goods
Good availability and choice of goods;30 - 60;Female;Range of goods
It's in the city center, it's not a big deal, I buy faster;60+;Female;Queues | Space
Organized and well arranged and cheap food;30 - 60;Female;Arrangement of the store | Pricing | Clarity
Terribly pleasant saleswoman;< 30;Female;Staff
They have the largest selection of each item and it's quite cheap;< 30;Female;Availability of goods | Pricing | Range of goods
Pleasant environment, wide range, interesting special offers. Selection of cut flowers.;< 30;Female;Availability of goods | Look and feel | Promotions | Range of goods | Availability of promo goods
Large selection of dairy products, nice vegetables;< 30;Female;Quality of FV | Range of goods | Quality of goods
Satisfaction, small selection of sausages and dairy products compared to other stores, super prices;60+;Female;Pricing
They should open before seven.;< 30;Female;Opening hours
They have here the most product for children, nutrition, clothing, toys.;30 - 60;Female;Range of goods
Have more open cash registers;< 30;Male;Queues
Clear, small, quick purchase.;30 - 60;Female;Queues | Clarity | Space
It's near the bus and on the way home.;30 - 60;Male;Proximity
Poor supply, bad prices;60+;Female;Availability of goods | Price Tags
The quality of goods at the store;60+;Female;Quality of goods
Convenient shop, lots of cash registers, helpful staff.;< 30;Female;Look and feel | Queues | Staff
Clarity of the newly redesigned;30 - 60;Female;Clarity
Large parking lot and well get here;60+;Female;Parking
Satisfied with the purchase, large parking;30 - 60;Female;Parking | Range of goods
Opening hours reduction;60+;Female;Opening hours
Not good access;< 30;Male;Staff
I have it close here, good shopping here, it's just big;60+;Male;Space | Proximity
A lot of special offers suits me surrounding shops;60+;Female;Promotions | Range of goods
Fresh bakery products, food selection, clarity in the shop;30 - 60;Male;Quality of bakery | Clarity | Range of goods | Quality of goods
Availability, good prices ...;60+;Male;Pricing | Proximity
We will come here for a larger purchase, a larger offer than elsewhere;30 - 60;Female;Range of goods
It is clear and high quality here;30 - 60;Male;Arrangement of the store | Clarity | Quality of goods
Long queues at checkout.;< 30;Female;Queues
It's very clear here.;< 30;Male;Clarity
It's expensive here, but it's clean again and they have fresh salami and cheese.;60+;Female;Pricing
Normal business, not much choice.;< 30;Male;Range of goods
WC is dirty, small, stinks.;60+;Male;Cleanliness
Satisfied, good shopping here, they have everything here.;60+;Female;Look and feel | Range of goods
Discount and more action on goods.;30 - 60;Female;Pricing | Promotions
On Friday afternoon the goods are already discussed and action;60+;Female;Availability of goods | Availability of promo goods
And it's pretty good here but I don't like the bunch of homeless people roaming around here.;30 - 60;Female;Look and feel
