SENTIMENT;TEXT
Positive;The selection has improved significantly
Positive;There are the cheapest prices
Positive;Small nice shop, I prefer to come here than to Novolisen, there are too many people.
Negative;Nice service, missing price tags.
Negative;It's expensive, all the goods
Positive;Very nice delicacies and there are never queues
Positive;I park comfortably in peace I buy I did not become dissatisfied
Positive;We have it across the road
Negative;Do not replenish goods
Negative;The appearance of the warehouse, not much clean, less quality of goods
Positive;Large selection of beers and alcohol
Negative;Kaufland has better sales events.
Positive;There are no queues in the self-service cash registers.
Positive;I'm happy with everything, they have everything here
Positive;Pleasant saleswoman
Positive;It is so clear and especially I still do not mess with the goods
Negative;Poor parking, little space.
Positive;I like the big parking lot and next to it is both
Positive;I just come here to fix it, it's very nice here, more choice and better goods.
Negative;Everything is fine only what I evaluate negatively is the behavior of employees very arrogant and unpleasant
Positive;It's good for big purchases
Negative;Prices are high
Positive;It gets here well, parks, the choice is good and the clarity in the shop is good
Positive;Lots of discounts and big discounts especially for fruits
Negative;More frequent action on all fluids
Positive;I have no reason not to recommend I am a satisfied customer
Positive;There is better goods, German quality
Positive;Now it has been fixed here and it is better and nicer.
Positive;They have excellent vegetables and a selection of fruits.
Positive;Distance, I buy everything
Neutral;I got it at the tracks.
Positive;Large assortment, action
Positive;When they have discounts what interests me so I go
Positive;I come here every once in a while for a snack on the road. I'm going to Blansko, but it's good here.
Positive;Shopping is good here. It's quiet
Positive;Everything is here
Positive;I come here all the time, I like it here, I'm happy
Positive;I have it close to the house and great quality assortment
Positive;I got it close here is all the basic what is needed
Negative;Build a new building, more choice, strengthen cash registers
Positive;I like the size of the store and things outside the food - flowers, food for dogs,…
Positive;Large parking. Shop spacious, clear.
Neutral;All stores this chain the same, I do not know how to evaluate
Negative;Rotten vegetables
Positive;I'm close
Negative;There could be more goods, there should be food from the Czech Republic.
Neutral;For a small purchase a good shop for a bigger poison rather to Brod to Tesco.
Negative;Small selection of baked goods and sometimes expired goods
Positive;The store can not reproach anything
Negative;Incomplete assortment, mainly pastries after 18h,
Positive;It means good food here
Positive;They like us here. Shopping is good here
Positive;Well, I like the fact that it's spacious and there is a commodity of all kinds.
Positive;Shop suits me, good opening hours, pleasant people
Negative;Missing self-service cash registers
Positive;Quite clear, we know food, sweet pastries delicious
Positive;Other assortment, high quality
Positive;Cheap goods, well ordered, clear
Positive;More open cash registers at this time
Negative;They could have shorter queues
Negative;Satisfaction, no headed cabbage, big waiting at the cash register, flies fly for bread
Neutral;Well, I gotta get used to how it's arranged here. I have to get use to it
Positive;I often stop by the way.
Negative;Apples were chilled, rotten vegetables.
Negative;They have a different assortment here, but the large package does not suit
Negative;Only more discounts on fruits and vegetables
Negative;It used to be more pleasant, sausages.
Positive;Selection, events, assortment, spacious shop
Positive;Large selection of goods
Positive;Spaciously. Great choice. Goods
Positive;I like it here, I like it here
Positive;Distance, clean business, if not forget
Negative;Missing whole milk in the bottle and herbal butter.
Negative;Little organic product and it was too expensive
Negative;Strengthen the cash register, larger assortment
Positive;Enhance entertainment culture .. and clarity
Negative;Less choice of goods a lot of bill products
Negative;I'm happy, it's a little cramped here
Positive;I like to shop here is quiet and large space
Positive;Large selection of groceries, new nice shop
Positive;I buy meat at the butcher, otherwise there is a good choice.
Positive;I really like it here, there is nothing to improve
Positive;Cleanly, business transparency
Negative;Better coffee would like to get it
Positive;I have good orientation in space, I like special offers and long opening hours
Positive;A smaller selection of goods we buy the pastries and smaller daily purchases.
Positive;They have everything I need here. I also choose events from leaflets, not only food - underwear, toys,…
Positive;As they adjusted it, it's better
Positive;Good selection of meat and pastries
Positive;The staff is handy
Positive;Excellent pastry
Positive;Clean, clear shop, good action
Positive;Then, as I remade it, she likes it very much
Positive;Very nice fruits and vegetables, I get a packaged vegetable, which is fresh and also get goat products and other healthy nutrition.
Positive;Satisfied, everything is here, I only come here.
Neutral;Unfortunately, they will not do anything about it
Negative;Little business and services on the Internet
Negative;It's quite expensive
Positive;Sufficient choice, goods often in action
Negative;Thus, everything is not always perfect
Positive;I wouldn't change anything here, it's okay
Negative;Little space at the cash registers after they remade it.
Positive;There aren't many people
Negative;Cash registers work either two or one, never all
Negative;The quality of meat is worse and expand the range
Positive;They have everything needed here
Positive;I like it here is everything here
Positive;Reconstruction helped a lot, now it's a far better deal than it was before.
Positive;They have fresh and nice fruits and vegetables.
Positive;I park comfortably in peace I buy I did not become dissatisfied
Neutral;Organic sausages, even more organic products.
Negative;Bad entry for disabled
Positive;I like the clarity here
Negative;The size of the shop does not correspond to the size of the municipality.
Positive;After reconstruction super shop
Positive;Assortment, clarity, space
Negative;If it sat to pay at a separate cash register
Positive;For normal purchase suits
Positive;Because I am calm with the willingness of shop assistants and with the offer of food.
Positive;I got it close here, what I need to buy here. It became very expensive
Positive;In one place I get everything necessary
Negative;There would have to be a shop bigger to get here with the carriage
Positive;Fresh food, fresher shop, more spacious, bigger.
Positive;Convenient store conversion, it's better.
Positive;Quiet shopping, clear, clean
Positive;It is quiet and easy to buy
Positive;Availability of shops, fresh fruits and vegetables, bread.
Negative;They had a huge assortment for large premises, shop unused
Negative;Empty bookshelves
Positive;Clear, clean, good action
Positive;Over the last few years with a change in leadership, this establishment has greatly improved
Positive;Lots of action, availability, opening hours
Positive;Availability, always completed goods
Neutral;I have no need to go elsewhere when I live across the street
Positive;Small nice environment, everything I need
Positive;Good offer, few people, cheap
Positive;It's near the stop
Positive;Pleasant service, small queues
Negative;There's little space in the aisles
Positive;Parking is right at the store
Positive;We like it here, spacious shop good offer.
Positive;It's clear, and it's all there.
Negative;Reluctant staff
Positive;I have no problem with the trade as such, it is clean, the goods are organized, good service
Negative;Sometimes I don't fit price tags,
Negative;Pastry isn't good here
Negative;We do not get leaflets and bad marking of goods
Negative;A small shop and and sometimes queues at the checkout.
Negative;Very expensive some foods
Negative;It's a very small shop here
Positive;Good location, the store is just big, I won't get lost,
Negative;The prices do not match, I bought chicken for 1200,- CZK.
Positive;I was very pleasantly surprised here, as the shop is small, so there is a good selection, fresh goods. I was shopping well here.
Positive;I find it clear here and I like the selection of those products
Positive;There could be self-service checkouts, a good assortment
Positive;Low prices, wide selection, quality food, fresh meat and sausages, varied offer, goods are supplemented, only queues are paid.
Positive;Vice vendors because I can't find the goods
Negative;Dirt on the ground, the prices of goods do not agree, the cash register is different
Positive;It's my favorite store
Negative;Expensive, little choice, close
Negative;Dirty shop, old groceries.
Positive;Good shopping here, fast shopping and I like self-service checkout.
Negative;Very expensive and unwilling staff I do not like here
Neutral;Arrangement
Negative;Trolleys with unpacked goods will defeat in the aisle.
Positive;Assortment, staff, quality
Negative;Occasionally missing action items
Positive;Quality food
Positive;It's a nice little shop I don't spend too much money here and they're good saleswoman
Positive;I got it closest it's opposite the house
Positive;Large store, a large selection of goods and no queues
Negative;I do not like the confusion of goods
Negative;I don't come here very much
Negative;Sometimes long queues
Negative;There are long queues at the ticket offices.
Positive;It is very well arranged to buy here
Positive;I have good shopping here, they have what I want.
Positive;So I like to buy food, clothes, just everything.
Positive;Large and nice parking, everywhere in the shop clean and a large space between the shelves
Negative;Bad bread, bad meat, bad delicacies
Negative;I like the proximity of the store, it bothers queues at the box office and higher prices than the competition
Negative;Missing selection of chilled meat.
Negative;Pastry not much, sometimes hard, others in order
Positive;It is a good shop and has limited range
Negative;There are queues mainly at the weekend.
Negative;Opening the self-service cash registers would help a lot
Negative;Sometimes action goods are missing
Negative;More choice in the shop, as in a hypermarket
Negative;The store could be larger, has a confined space
Positive;I got it close I don't have to go to town. Large selection of both organic ingredients and healthy nutrition.
Negative;Occasionally unfinished meat and special offer quickly sold out
Negative;Business is okay, sometimes there are queues.
Negative;Improve toilets, soap dish does not work at all.
Positive;I only buy here, clear ..
Negative;For example, put in self-service cashes
Positive;Proximity, large assortment of goods
Positive;Frequent events, discounts
Positive;You can buy here well for a decent price
Negative;It would like the store to be bigger.
Negative;Frequent queue cash and unwilling staff
Positive;Goods nice, pleasant environment, friendly service.
Positive;Shop on the square near the church just on the way home and newly made
Neutral;Shop for common groceries
Neutral;I'm happy, I don't care
Negative;Not always fresh fruits and vegetables.
Negative;It's expensive here and sometimes they don't have what I want to buy.
Positive;Nice shop just size for shopping
Positive;They have fresh meat and sausages. Cheaper prices.
Positive;Satisfaction with everything has no problem
Negative;I'm close, little pastry selection
Positive;Because I'm happy here. Everything is well arranged and the range is good.
Negative;A little remodel store, improve
Negative;I like the warm counter here otherwise higher prices
Negative;No self-service checkout
Neutral;I buy here, but I'd rather go somewhere else.
Negative;Have goods for points earned
Negative;Changing service to more friendly staff
Negative;Have a stock of leaflets
Negative;It had a small supply of food, a bigger purchase had to go elsewhere.
Negative;It turned out to be a delicacy like cheese, and the sausages were probably sliced first
Positive;Large clear and clean shop
Positive;There is a pleasant environment and I buy different assortment.
Positive;According to the leaflet I come here for things in action, the quality is good
Negative;It bothers me that there is little space
Negative;Small cash space, short conveyor belt.
Negative;Business is not bad, but there are too many students. It's just small.
Positive;Everything went well, it's more spacious here
Negative;Not much space behind the ticket offices.
Positive;Peace and quiet to buy, no queues, few people overall
Positive;We shop here because the store has a wide range
Negative;Well, for me, for pensioners, the price is important.
Negative;It's near the house. It would require better supply
Positive;Beautiful shopping environment
Positive;The arrangement is clear, I orient myself.
Positive;It's clean here and it's a clear store
Positive;There are low prices and good clarity
Positive;Conversion, store location, modified.
Neutral;Okay action price, but mess
Negative;Bad quality. meat
Positive;She likes to be here. I buy quality groceries pretty shop
Positive;Pleasant environment, good prices and availability
Positive;Just queues otherwise good
Negative;It is a smaller shop and there are fewer goods
Neutral;Range of goods.
Positive;Satisfied, I buy everything here, it is clear
Positive;Transparency, fresh vegetables
Negative;There are higher prices here than in Lidl, but I got it closer here
Positive;It's close, everything I need
Positive;Sometimes queues at the cash registers, otherwise I'm happy.
Positive;Excellent vegetables
Negative;Little action
Negative;There aren't big carts to roll back
Negative;Little vibrant interior.
Positive;Nice shop just size for shopping
Negative;It's more expensive here than Penny.
Positive;Affordable
Negative;We do not like the arrangement of cash registers not much space there. We are satisfied elsewhere.
Negative;Queues cash register constantly on sausages
Positive;I buy everything here and non-food goods
Positive;Have a good action good selection store well organized
Negative;Unfilled pastries and hard cheeses
Negative;Maybe sometimes there might not be one nasty worker at the checkout
Negative;Certainly the quality and choice of sausages
Negative;It is expensive and there are long queues for everything, although they introduced self-service cash registers, but it is not enough
Negative;Low-quality food
Negative;Quite a nice deal except those queues.
Positive;Good prices, I'll buy everything
Positive;Large store and lots of other shops in one place.
Positive;I go work and shop here
Neutral;Space, assortment, staff
Positive;Satisfied, good pastries, I shop every day.
Positive;They have cheap beer and German quality goods
Negative;Arrangements and packaging of cheese are changing
Positive;There is little action, clean shop, good goods ..
Negative;Small choice
Positive;We like to come here to buy, it's on the way and without people
Negative;Occasionally queues
Positive;Large selection, self-service cash registers
Positive;Quick purchase, rich offer, pleasant environment
Positive;I always find what I need
Positive;Small queue at cash registers, fresh bread.
Positive;It is well and clear here
Positive;I really like it here. It's nice here.
Positive;For my needs, this store is enough for me
Positive;Buy everything, fresh, nice staff
Positive;I'll buy what I need here
Negative;So because I miss some products and I go elsewhere
Positive;Nice staff
Negative;Smaller range, quality
Positive;Cheap food
Neutral;Vegetables
Positive;For smaller purchases it's good here. Not many people here
Negative;Small drugstore ...
Negative;There's little space at the ticket offices ...
Positive;Excellent meat and pastries from our own production
Negative;Have a stock of leaflets
Negative;I do not like fruit and vegetables here often and it is expensive
Positive;Advantageous events
Neutral;I am dissatisfied here with the staff
Negative;Not enough space to park in front of the shop
Positive;Nice big cheap nice shop
Positive;I like shopping here, the store is large and well arranged
Negative;Have more goods in action what's in the flyer.
Positive;Well-arranged store, various points and so on ...
Positive;It improved a lot here,
Neutral;Helpful staff, but prices are higher
Positive;Cheap food for babies
Negative;It's hard to get used to the new layout
Neutral;There's something to improve
Positive;I am satisfied with this trade.
Neutral;Vegetables are packed in a large package.
Negative;The store could be larger with a larger assortment
Negative;More places behind the cash register, I can't clean up my purchases, so as not to interfere with someone, and there's a bottle machine.
Negative;Refilling of goods is not good often in the rack is missing
Negative;In the afternoon little pastries and queues expensive and unpleasant staff
Negative;Small shop for small purchases.
Positive;Large selection of goods and assortment, clarity
Negative;Sometimes they don't have leaflet food
Neutral;A more modern impression of the shop, more light baskets under the close
Negative;The store could be larger with a larger assortment
Positive;We like to make a weekly purchase here
Positive;Helpful staff, good manager
Positive;Clear store and cleanly
Positive;I can park and buy in peace
Negative;So there are certain things that could be improved here, such as the environment.
Negative;Expand the range of trade.
Negative;Different prices on the shelf and different prices at the bottom.
Positive;It's close, they're nice cashiers
Positive;Better fruit vegetables
Positive;The nearest shop at the residence
Positive;I have good shopping here and have a look at the surrounding stores
Neutral;There's a long wait at the checkout. Otherwise it's good here
Negative;There are queues
Positive;Nice big shop, close to him, big choice
Negative;This is a terrible business, dirty and confusing
Negative;I don't like it here. Vegetables are often rotten, the same fruit.
Positive;I buy well, there is a large, clear, large selection of goods.
Positive;Always freshly sliced salami, friendly staff
Negative;Availability, small passage between shelves, increase space
Positive;The shop is closest and they are nice to me.
Neutral;It's better after rebuilding, but it's not that.
Positive;Satisfied, clear goods.
Positive;I'm close and buying everything I need
Positive;Spacious shop, a large selection of fresh food and even meat
Negative;I don't really like it here
Positive;Suits space and assortment
Positive;Goods available and lucidity.
Negative;Better control of fruits and vegetables
Negative;Self-service cash desks and cash.
Negative;There are queues at the box office, I do not go to self-service
Negative;Reluctant service, good pastry
Negative;Terribly long queues at the box office and little opening new ones
Neutral;Sometimes good and in the head fruits and vegetables
Negative;Sometimes jumped price tags, missing some assortment, beef ribs in packaged meat, seriously in sausages ...
Negative;They only have two cash registers and they don't. There are still queues at the ticket offices
Negative;Queues at checkout
Positive;Fresh meat, good prices, choice
Positive;It is well and clear here
Negative;High queue prices, limited range
Negative;There might be more room here, but otherwise I can't complain, I'm happy here.
Positive;Otherwise it is clear here, I do not know ...
Positive;Best shop, best quality, cheapest.
Neutral;They have a different kind of cheese assortment and packed parks.
Positive;Shop is ok. just the Vietnamese restaurant stinks in front of her
Neutral;I just don't know it's normal business
Positive;Great prices, Czech products, the best quality
Negative;More shelf space, more diet food.
Positive;Good shopping, it is a spacious shop
Negative;Uncomfortable staff
Positive;The choice is good, the shop is clean, spacious.
Negative;More space for folding purchases
Positive;Fresh bread, clarity, staff
Positive;Fruits and vegetables excellent, others also in order
Positive;Tastes of the World - Italian Week, we attend these events regularly.
Positive;Nothing. Satisfied with everything
Positive;I like sausages, I go for bread, rolls are better than in Bill.
Positive;There is enough, cheaper prices than elsewhere and I live here a bit
Negative;Queues at the checkout, occasionally missing discounted items.
Negative;More pastries in the afternoon
Negative;Reduce valuable
Negative;Unpleasant environment, less choice
Neutral;It is more expensive here than in Kaufland for large purchases, in stock.
Positive;Satisfaction is at the house
Neutral;Ordinary big shop, I don't care where I go shopping
Negative;There's a file smaller food selection. Otherwise it's good there
Positive;I've always got everything I needed
Negative;Do not replenish goods
Positive;Pleasant environment, helpful staff
Positive;It's airing here now, light, clear, fresh, just top
Negative;Sometimes they have good deals, sometimes higher prices than Lidl or Kaufland.
Positive;Helpful staff and a wide range
Positive;Everything is about people and here it's fine
Neutral;I am satisfied, but space for the reserve must
Positive;Good shopping here, nice cashier
Negative;In the later hours more cash registers open
Positive;Space, clarity, vegetables
Positive;Transparency, assortment, staff
Positive;Good action stuff sports at home
Negative;I have nothing against the trade, but I do not come here so often because of the reconstruction of the building, there is no place to park
Negative;Open multiple cash registers.
Negative;Goods in action are often not.
Positive;Everything's fine here, I like it here
Negative;Help at the self-service checkout, I don't know how to work with it
Positive;Convenient proximity shop and store space
Negative;There are long queues at the ticket offices
Negative;It is not possible to pay cash at the self-service checkout.
Negative;Very narrow streets, can not be avoided.
Negative;The store is located far from our residence
Negative;There's not everything, high prices.
Negative;Small shop area. Nothing else.
Negative;Employees are not professional at times
Positive;Much satisfied, there is a large assortment.
Negative;I think there should be more things in action
Positive;It's okay here, she never had a problem
Positive;I am satisfied here, have a large selection of drinks and I have it close.
Positive;Fresh meat
Positive;Big shop, nice big shop
Positive;It is easy to shop here, the shop is not big but clear, the choice and quality goods
Positive;Large selection of spacious shop goods
Negative;Sometimes the gypsies bother me here
Positive;Selection and plenty of goods to choose from ...
Positive;Satisfied, I got close to home, trying.
Positive;They have great sandwiches here
Positive;I am quite happy here, the choice of good, well arranged
Positive;Much satisfied, nice clean, neat.
Negative;More cash registers, improving the quality of payment employees
Negative;At the greasy counter, employees are not very willing
Positive;Sufficient supply, quality food
Negative;A lot of people mess in goods
Positive;Large assortment of goods quality at reasonable price
Positive;I recommended, I am satisfied here, pastry vegetables
Negative;"There are not many things in action at all;"
Positive;Few people look at what I used to buy here
Negative;Sometimes something is missing on the shelves
Neutral;I only come here in urgent cases
Positive;Large selection of goods, good parking
Positive;Location of good
Negative;They have a mess in the store, unclean
Negative;Unfresh vegetables, long queues.
Positive;Good offer of everything we want to buy.
Positive;I like it here. I'm not demanding.
Positive;It's close and it's clean
Positive;There's not so much expensive goods here I come here to buy it I got a piece
Positive;Everything I ever needed I got
Positive;If I have a way around, I buy it
Positive;Only around, nicely redesigned shop
Negative;Long queues and cramped space
Positive;Wide range, good prices
Negative;Quality fresh fruits and vegetables a lot of Czech products, I mind queues at the box office
Positive;Because they have everything here. And also good bread
Positive;Quality food.
Negative;In the evening there is fresh bread and at noon there are queues at the box office
Negative;Sometimes there is no price tag with the price at the box office
Negative;The clutter in price tags is either tangled or have mistakes
Negative;There is nothing for kids, no corner or restaurant
Positive;All foods are fresh.
Positive;I know where they have it
Negative;Self-service checkouts could even be coins, not just on a card
Negative;More replenishment of goods to make every day available
Positive;Everything's fine here, I like it here
Negative;Cheaper, do not change the shelves, you are used to and then change it
Negative;Matters confusing arrangement
Positive;There's a big choice
Negative;Prices do not match the quality of the goods
Positive;What we wanted is quite clear
Positive;They shop well here, they could just expand some shelves.
Positive;I like coming here, it's a nice little shop.
Positive;Well-arranged shop something is well something not green and good
Positive;Friendly helpful shop staff
Positive;It's good here, no problem business
Positive;There is a large parking lot, shop spacious, nice staff.
Positive;Nice environment, excellent approach to the customer.
Positive;Overall, it managed a good rebuilding nice
Positive;Pleasant salespeople
Negative;Weekend flushes, more cashiers
Neutral;Pastry fresh
Negative;Uninteresting events in the leaflet, smoked products of poor quality, the other smelled day
Positive;But a smaller shop will buy everything I need here
Positive;Great, smaller shop, everything I need, cheap prices
Positive;Enough action
Negative;Confusion of goods, queues at the ticket office.
Negative;All I have to do is come here, I have it close and there is nothing else, until Kaufland and he is far away, I would like lower prices.
Negative;I can not put more in a larger store I just buy better is there a bigger choice Hi there is nothing to do with it
Negative;Few gluten-free goods
Positive;They have everything here and after the reconstruction it is clear and clean
Positive;I'll get everything I want here and there are willing shop assistants.
Negative;Add a self-service checkout
Positive;Shop suits me, good opening hours, pleasant people
Positive;Large and well-arranged selection of goods
Positive;They take care of business, new carts
Negative;when the actions are almost nothing here
Negative;All I have to do is come here, I have it close and there is nothing else, until Kaufland and he is far away, I would like lower prices.
Negative;The self-service checkouts are too slow. And one attendant misses much.
Negative;There are higher prices here than in Lidl, but I got it closer here
Positive;The store is clean and clear
Positive;I have to get used to the new arrangement, but otherwise I like it here, I find it bigger, lighter
Positive;Great change and very nice, nice shop
Positive;Shop suits me is all I need.
Negative;I'm going to work on self-service cassettes
Positive;Clear, I always find everything
Positive;I have it on my way and I always choose.
Negative;Shop good but there is winter all year in the store
Negative;Reluctant staff on the delicatessen, freshness of the bread
Negative;Larger store more space
Negative;They don't have things in action.
Positive;I like to go shopping here, nice staff
Negative;Meat is good, dried fruits are in action, but otherwise it is expensive
Negative;What you want after Tesco. It used to be much better here.
Positive;Well-arranged store, clean, fresh food
Negative;Occupied cash registers.
Positive;Large well-arranged shop, willing staff
Negative;Missing eggplant
Negative;I do not like it when I trade. I understand that it must be, but they could be better marked streets.
Negative;In the rush, the endless queues at the cash registers bothers me.
Positive;Better cooling counters, large selection, lots of goods but still space in the aisles
Positive;Shop environment, cash register occupancy
Positive;I admire the cashier here, it's a terrible backseat, people get worried, they should get a reward.
Positive;Very friendly staff.
Neutral;They have buns.
Positive;I love shopping in folk, quality, good prices.
Positive;Good action prices on work resources. Good delicacies and sausages. Excellent pastry.
Positive;Good prices quality and food selection
Positive;Now they've improved a lot, it's more spacious
Positive;Very nice shopping environment
Negative;For pastry. He is no longer in the evening, shelves empty and nothing is done
Positive;Availability, self-service checkout, large assortment of goods
Positive;Good location I got it on the road
Negative;Better selection of fresh bread, not split.
Negative;There could be a larger variety of large yogurts
Positive;I usually buy everything I need here
Positive;Pretty good business and good prices
Negative;They don't have any goods it's a terrible business
Positive;Good action prices one of the cheapest trade
Positive;With the purchase of food, I buy clothes or combine it with fun
Positive;Nice large shop with a selection
Positive;Selection of goods suits, size of shop
Positive;Good choice is close
Negative;Complement goods and action more often
Negative;Shop sometimes has a bad climate too hot or cold
Negative;There is a big mess around the store and inside
Positive;I got it closest, good assortment
Neutral;Because I prefer to shop somewhere else, less here
Positive;Large selection of goods
Positive;Large, spacious and well-arranged shop
Positive;Selection, clarity, fresh fruits and vegetables
Positive;There is less choice and the same range. Otherwise, I like the store.
Positive;Clean and pretty fresh bakery shop
Positive;Good shopping here, it is a nice small shop. I praise most of the staff, they're doing well here.
Positive;It is a suitable shop for large shopping.
Positive;Beautiful and pleasant shopping environment
Negative;Higher prices
Positive;Especially when the events are appropriate to come here
Negative;Occasionally there is a queue, little of a kind of salty pastry.
Positive;Well, man, I got what I wanted, helpful staff.
Neutral;So I do not know I miss anything here
Negative;They don't have French cheeses
Negative;There is nothing for kids, no corner or restaurant
Positive;Wide range, good prices
Negative;Small shop, same goods, expensive vegetables,
Positive;I only come here satisfied
Positive;I'll buy everything here
Negative;It's a small shop, a small selection of goods
Negative;Shop good, only us recently do not fly leaflets to Europe
Negative;There are queues at the box office, I do not go to self-service
Negative;More space behind cash registers to store goods.
Negative;I'm not going through a carriage here, so I don't like coming here.
Neutral;More cashiers not to queue even when workers do not go after work
Negative;More spacious, wider aisles, more organic product.
Positive;Good fresh fresh shop
Negative;Long queues of little cash registers
Positive;Pleasant service good action
Positive;I don't have to look for anything, good overview, there are other shops
Positive;Cheapest shop, still some action, quality
Negative;It is not well organized, high prices.
Negative;I recommend shopping better here than small shops. But there's less choice, so I have to go to Lidl.
Positive;Satisfaction with everything has no problem
Positive;Good location, opening hours, cash registers
Positive;How remodeled it is nice here
Negative;Big packs of meat, smaller packages
Positive;It's much better here now.
Positive;I am satisfied with the selection of goods
Positive;Very nice space in the shop
Positive;Availability, proximity to good prices
Positive;I go here advice and out of habit
Negative;Small selection in vegetables and fruits
Positive;Well accessible store
Positive;Availability, a large assortment of goods is cheaper here
Positive;I like it and I would recommend this shop
Positive;I like to buy a cheap shop here
Negative;I had a problem with a cashier, but I haven't seen her for a long time
Positive;Matching assortment, I used to here, I can find everything
Positive;Peace, spaciousness, few people
Negative;Sometimes waiting at the checkout
Negative;There are no big carts to undo.
Positive;I have it right next to the house and prices are not unbearable
Negative;Well, because sometimes in the evening after 6 pm there is no fresh bread
Negative;It used to be a better restaurant.
Positive;I'm close and I come here often
Positive;Near the centre
Positive;I like to cut meat where I can see what I buy
Negative;More open cash registers and shop assistants at the store
Negative;I do not like the offer of meat is poor quality and especially not fresh
Positive;Pleasant environment and low prices
Positive;Sometimes there is no pastry, sometimes goods are not in action
Negative;Pleasant service, expensive goods
Negative;There are queues at the ticket offices.
Positive;There's a lot to choose from as the shop is small
Negative;Sometimes it bothers me at the cash registers, otherwise nothing.
Negative;Different prices on the shelf and different prices at the bottom.
Positive;Good prices, I'll buy everything
Neutral;Nothing comes to mind, I have no reservations
Negative;Higher prices, I prefer Kaufland.
Neutral;Beautiful space, few open cash registers
Negative;It is expensive, but close, smaller fonts
Positive;Very friendly staff
Neutral;How ever sometimes it's good sometimes not
Negative;It's too big and I don't know it here
Negative;Not enough space to pass.
Positive;Sausages have improved in quality.
Positive;So there are good prices, a total of choices, I got it here
Negative;I don't like Tesco I don't like meat
Negative;Expensive
Positive;Good location and goods at reasonable prices
Negative;There is less choice than in our shop
Negative;Confusion on the shelves but good offer of bakery and drinks
Positive;There is no other shop here so there is nothing to recommend
Positive;There is a lot of goods, a large selection.
Positive;I am satisfied with the assortment
Positive;There's everything I need.
Positive;Large selection of fruit vegetables, quality dairy products, pastries, delicatessen ..
Positive;Here I have a job, so I shop here.
Positive;Nice service, clear goods.
Positive;She recommended it because it is a smaller shop where I can quickly orient myself and buy
Positive;When we have a way around, we like to go shopping here, unfortunately it is far for us. We like how the store reviews and overall neat
Negative;For me, the business is too large
Positive;Overall provision of goods, nice staff
Positive;Good location and nice shop
Positive;Good store availability.
Positive;Absolutely satisfied ,, friendly staff.
Positive;I have it near the way of work and have a longer opening time.
Neutral;Cleanliness at the store
Positive;Absolutely satisfied ,, friendly staff.
Negative;But they should have more action
Positive;It's very close to me on the road
Positive;Large selection of fresh foods. Well redesigned business.
Positive;I like it here, good shopping here
Negative;Frequent checkout queues, sold out actions of textiles and tools often
Negative;Queues delay a person, especially when he leaves work and has no time.
Positive;The shop is close, there is a spacious and large selection
Negative;Renovate, strengthen cash registers, better quality sausages and meat
Negative;Expensive mass and queue cash register
Positive;Good shopping here, small queues, fresh food.
Positive;Fresh products
Negative;Cleanliness, disordered, larger assortment
Positive;Large selection of dairy products
Negative;The size of the shop is had and baked goods
Positive;Good leaflet events, fresh bread
Negative;I do not like fruit and vegetables here often and it is expensive
Positive;For smaller purchases it's good here. Not many people here
Positive;We come here So we go to church every Sunday
Positive;It's neat, clean, it got it
Negative;I was upset today, still opening and closing the box office. I fly here from cash register to each other, so I'm mad at it.
Positive;Well-arranged store, clean, fresh food
Negative;I'm tired of waiting at the cash register ... missing the self-service cash register
Negative;Missing baskets behind the cash registers, little space at the entrance to the store.
Positive;There is good space, nice environment
Positive;Small but well stocked shop
Negative;Outside mess, cigarette butts, chewing gum and papers
Positive;It's a big cheap shop to buy everything you need
Negative;After the reconstruction is not oriented, confusing
Positive;Well, there is a large selection of groceries
Positive;It's good to shop here, it's clear
Positive;The only decent around
Negative;Penny has a small selection of assortment
Negative;Arranging for more space in the streets
Negative;There are few goods in action, prices are higher
Positive;Quality and fresh food, pleasant environment
Negative;It wasn't in action what was supposed to be
Positive;Nothing. Satisfied with everything
Negative;Expensive shop
Negative;Good choice of goods, overpriced goods
Negative;We don't have leaflets for 6 weeks.
Negative;There is no place at the checkout to clean up your purchase.
Positive;Okay, what I wanted, I got it
Negative;Shop equipment is outdated
Positive;They have a large selection of goods and events.
Negative;Higher prices
Positive;I haven't seen anything spoiled or old here, purely here and otherwise there are little things like in any other shop
Positive;Largest shop nearby, availability.
Neutral;There are often queues, otherwise there is good shopping.
Positive;Good opening times and food choice good
Negative;Proximity, increasing prices of fruits and vegetables
Negative;bad staff
Negative;Larger store more space
Positive;Good big family shopping
Negative;Sometimes prices don't fit
Neutral;Unfortunately, they will not do anything about it
Positive;Very satisfied, I shop here often.
Positive;Because it's close, after reconstruction, a large, larger assortment,
Positive;Well and good food
Positive;The shop is nice and well-arranged after reconstruction
Positive;I like the spacious shop and also the assortment.
Positive;Well-arranged shop, pleasant shopping
Negative;Sometimes price tags are not with the right goods
Positive;Shopping in this store likes
Positive;This store suits me well.
Positive;After reconstruction it is very good, it has benefited, it has a level
Positive;They improved a lot here and I like it here.
Positive;Nice environment and a large selection of food
Positive;The staff is great and helpful dear fast
Negative;Extend the range of vegetables, add storage counters behind the cash registers.
Positive;It's such a clear store, I buy everything here
Positive;Friendly staff, quality sweet and savory pastries
Negative;It's cheap but there are queues at the checkout.
Positive;Nice and clear shop it is
Negative;I like the old premises, not much transparent indicators
Negative;Some goods could be fresher
